60.000000	111.000000	39.000000	81.295287
80.000000	127.000000	39.000000	80.058037
100.000000	142.000000	34.000000	78.931910
120.000000	142.000000	32.000000	78.931910	
140.000000	142.000000	26.000000	78.931910	
160.000000	143.000000	25.000000	78.857963	
180.000000	145.000000	22.000000	78.710485	
200.000000	149.000000	18.000000	78.417181	
220.000000	153.000000	13.000000	78.126060	
240.000000	155.000000	12.000000	77.981310	
260.000000	154.000000	12.000000	78.053618	
280.000000	160.000000	11.000000	77.621778	
300.000000	158.000000	5.000000	77.765191	
320.000000	162.000000	4.000000	77.478894	
340.000000	161.000000	6.000000	77.550270	
360.000000	161.000000	4.000000	77.550270	
380.000000	161.000000	4.000000	77.550270	
400.000000	161.000000	4.000000	77.550270	
420.000000	159.000000	5.000000	77.693419	
440.000000	159.000000	5.000000	77.693419	
460.000000	159.000000	6.000000	77.693419	
480.000000	162.000000	4.000000	77.478894	
500.000000	163.000000	0.000000	77.407650	
