0.000002	0.000002
0.000002	0.000351	
0.000026	0.000702	
0.000039	0.001053	
0.000054	0.001404	
0.000067	0.001754	
0.000079	0.002105	
0.000106	0.002456	
0.000165	0.002807	
0.000180	0.003158	
0.000256	0.003509	
0.000271	0.003860	
0.000271	0.004211	
0.000306	0.004561	
0.000518	0.004912	
0.000520	0.005263	
0.000627	0.005614	
0.000805	0.005965	
0.000813	0.006316	
0.000828	0.006667	
0.000886	0.007018	
0.000929	0.007368	
0.000948	0.007719	
0.001003	0.008070	
0.001158	0.008421	
0.001169	0.008772	
0.001231	0.009123	
0.001246	0.009474	
0.001263	0.009825	
0.001341	0.010175	
0.001358	0.010526	
0.001401	0.010877	
0.001438	0.011228	
0.001493	0.011579	
0.001494	0.011930	
0.001518	0.012281	
0.001541	0.012632	
0.001542	0.012982	
0.001588	0.013333	
0.001622	0.013684	
0.001635	0.014035	
0.001686	0.014386	
0.001787	0.014737	
0.001833	0.015088	
0.001868	0.015439	
0.001915	0.015789	
0.001929	0.016140	
0.002058	0.016491	
0.002191	0.016842	
0.002215	0.017193	
0.002287	0.017544	
0.002510	0.017895	
0.002518	0.018246	
0.002587	0.018596	
0.002618	0.018947	
0.002633	0.019298	
0.002690	0.019649	
0.002708	0.020000	
0.002739	0.020351	
0.002813	0.020702	
0.002864	0.021053	
0.002912	0.021404	
0.002920	0.021754	
0.002944	0.022105	
0.002994	0.022456	
0.003008	0.022807	
0.003144	0.023158	
0.003148	0.023509	
0.003245	0.023860	
0.003280	0.024211	
0.003317	0.024561	
0.003385	0.024912	
0.003487	0.025263	
0.003524	0.025614	
0.003530	0.025965	
0.003596	0.026316	
0.003632	0.026667	
0.003643	0.027018	
0.003664	0.027368	
0.003765	0.027719	
0.003775	0.028070	
0.003857	0.028421	
0.003886	0.028772	
0.003918	0.029123	
0.003949	0.029474	
0.004082	0.029825	
0.004083	0.030175	
0.004202	0.030526	
0.004254	0.030877	
0.004271	0.031228	
0.004286	0.031579	
0.004314	0.031930	
0.004388	0.032281	
0.004456	0.032632	
0.004460	0.032982	
0.004494	0.033333	
0.004514	0.033684	
0.004529	0.034035	
0.004535	0.034386	
0.004617	0.034737	
0.004716	0.035088	
0.004752	0.035439	
0.004757	0.035789	
0.004764	0.036140	
0.004863	0.036491	
0.004871	0.036842	
0.004940	0.037193	
0.004965	0.037544	
0.004979	0.037895	
0.005129	0.038246	
0.005239	0.038596	
0.005241	0.038947	
0.005323	0.039298	
0.005388	0.039649	
0.005462	0.040000	
0.005571	0.040351	
0.005579	0.040702	
0.005655	0.041053	
0.005720	0.041404	
0.005721	0.041754	
0.005774	0.042105	
0.005823	0.042456	
0.005981	0.042807	
0.006055	0.043158	
0.006113	0.043509	
0.006135	0.043860	
0.006212	0.044211	
0.006238	0.044561	
0.006520	0.044912	
0.006579	0.045263	
0.006607	0.045614	
0.006667	0.045965	
0.006723	0.046316	
0.006870	0.046667	
0.006878	0.047018	
0.006885	0.047368	
0.006923	0.047719	
0.006937	0.048070	
0.006937	0.048421	
0.006948	0.048772	
0.007063	0.049123	
0.007141	0.049474	
0.007161	0.049825	
0.007184	0.050175	
0.007271	0.050526	
0.007277	0.050877	
0.007473	0.051228	
0.007716	0.051579	
0.007769	0.051930	
0.007812	0.052281	
0.007954	0.052632	
0.008049	0.052982	
0.008087	0.053333	
0.008361	0.053684	
0.008367	0.054035	
0.008474	0.054386	
0.008529	0.054737	
0.008538	0.055088	
0.008584	0.055439	
0.008632	0.055789	
0.008673	0.056140	
0.008738	0.056491	
0.008769	0.056842	
0.008777	0.057193	
0.008932	0.057544	
0.008946	0.057895	
0.008950	0.058246	
0.008971	0.058596	
0.008973	0.058947	
0.008996	0.059298	
0.009006	0.059649	
0.009056	0.060000	
0.009118	0.060351	
0.009187	0.060702	
0.009215	0.061053	
0.009242	0.061404	
0.009381	0.061754	
0.009441	0.062105	
0.009463	0.062456	
0.009560	0.062807	
0.009605	0.063158	
0.009629	0.063509	
0.009662	0.063860	
0.009717	0.064211	
0.009753	0.064561	
0.009856	0.064912	
0.009894	0.065263	
0.009970	0.065614	
0.010037	0.065965	
0.010085	0.066316	
0.010111	0.066667	
0.010227	0.067018	
0.010280	0.067368	
0.010289	0.067719	
0.010420	0.068070	
0.010433	0.068421	
0.010442	0.068772	
0.010489	0.069123	
0.010600	0.069474	
0.010625	0.069825	
0.010637	0.070175	
0.010643	0.070526	
