id,time(s),value
0,0.043,1.58
0,0.047,1.58
0,0.048,1.58
0,0.050,1.58
0,0.084,1.58
0,0.085,1.58
0,0.085,1.58
0,0.086,1.58
0,0.126,1.58
0,0.127,1.58
0,0.129,1.58
0,0.130,1.58
0,0.167,1.58
0,0.169,1.58
0,0.171,1.58
0,0.191,1.58
0,0.208,1.58
0,0.212,1.58
0,0.213,1.58
0,0.213,1.58
0,0.250,1.58
0,0.250,1.58
0,0.251,1.58
0,0.252,1.58
0,0.291,1.58
0,0.292,1.58
0,0.294,1.58
0,0.309,1.58
0,0.333,1.58
0,0.333,1.58
0,0.333,1.58
0,0.334,1.58
0,0.374,1.58
0,0.374,1.58
0,0.375,1.58
0,0.376,1.58
0,0.415,1.58
0,0.416,1.58
0,0.417,1.58
0,0.437,1.58
0,0.456,1.58
0,0.460,1.58
0,0.460,1.58
0,0.461,1.58
0,0.498,1.58
0,0.498,1.58
0,0.499,1.58
0,0.500,1.58
0,0.539,1.58
0,0.540,1.58
0,0.541,1.58
0,0.555,1.58
0,0.580,1.58
0,0.581,1.58
0,0.581,1.58
0,0.582,1.58
0,0.622,1.58
0,0.622,1.58
0,0.623,1.58
0,0.624,1.58
0,0.663,1.58
0,0.664,1.58
0,0.665,1.58
0,0.682,1.58
0,0.704,1.58
0,0.705,1.58
0,0.705,1.58
0,0.706,1.58
0,0.746,1.58
0,0.746,1.58
0,0.747,1.58
0,0.748,1.58
0,0.787,1.58
0,0.788,1.58
0,0.790,1.58
0,0.808,1.58
0,0.829,1.58
0,0.829,1.58
0,0.829,1.58
0,0.830,1.58
0,0.870,1.58
0,0.870,1.58
0,0.871,1.58
0,0.873,1.58
0,0.911,1.58
0,0.912,1.58
0,0.913,1.58
0,0.926,1.58
0,0.953,1.58
0,0.953,1.58
0,0.953,1.58
0,0.954,1.58
0,0.994,1.58
0,0.994,1.58
0,0.995,1.58
0,0.996,1.58
0,1.035,1.58
0,1.036,1.58
0,1.038,1.58
0,1.051,1.58
0,1.077,1.58
0,1.077,1.58
0,1.077,1.58
0,1.079,1.58
0,1.118,1.58
0,1.118,1.58
0,1.119,1.58
0,1.120,1.58
0,1.160,1.58
0,1.161,1.58
0,1.162,1.58
0,1.176,1.58
0,1.201,1.58
0,1.201,1.58
0,1.201,1.58
0,1.202,1.58
0,1.242,1.58
0,1.243,1.58
0,1.243,1.58
0,1.245,1.58
0,1.284,1.58
0,1.285,1.58
0,1.286,1.58
0,1.301,1.58
0,1.325,1.58
0,1.325,1.58
0,1.325,1.58
0,1.326,1.58
0,1.366,1.58
0,1.368,1.58
0,1.369,1.58
0,1.371,1.58
0,1.408,1.58
0,1.409,1.58
0,1.410,1.58
0,1.426,1.58
0,1.449,1.58
0,1.449,1.58
