id,time(s),value
0,0.039,1.61
0,0.039,1.61
0,0.039,1.61
0,0.044,1.61
0,0.080,1.61
0,0.080,1.61
0,0.081,1.61
0,0.083,1.61
0,0.121,1.61
0,0.122,1.61
0,0.124,1.61
0,0.137,1.61
0,0.163,1.61
0,0.163,1.61
0,0.163,1.61
0,0.164,1.61
0,0.204,1.61
0,0.204,1.61
0,0.205,1.61
0,0.207,1.61
0,0.245,1.61
0,0.246,1.61
0,0.248,1.61
0,0.263,1.61
0,0.287,1.61
0,0.287,1.61
0,0.287,1.61
0,0.288,1.61
0,0.328,1.61
0,0.328,1.61
0,0.329,1.61
0,0.331,1.61
0,0.369,1.61
0,0.370,1.61
0,0.372,1.61
0,0.392,1.61
0,0.411,1.61
0,0.416,1.61
0,0.416,1.61
0,0.417,1.61
0,0.452,1.61
0,0.452,1.61
0,0.452,1.61
0,0.453,1.61
0,0.493,1.61
0,0.494,1.61
0,0.494,1.61
0,0.501,1.61
0,0.535,1.61
0,0.535,1.61
0,0.535,1.61
0,0.535,1.61
0,0.576,1.61
0,0.576,1.61
0,0.577,1.61
0,0.578,1.61
0,0.617,1.61
0,0.618,1.61
0,0.619,1.61
0,0.635,1.61
0,0.659,1.61
0,0.659,1.61
0,0.660,1.61
0,0.661,1.61
0,0.700,1.61
0,0.701,1.61
0,0.702,1.61
0,0.703,1.61
0,0.742,1.61
0,0.743,1.61
0,0.744,1.61
0,0.767,1.61
0,0.783,1.61
0,0.794,1.61
0,0.794,1.61
0,0.795,1.61
0,0.824,1.61
0,0.825,1.61
0,0.825,1.61
0,0.827,1.61
0,0.866,1.61
0,0.866,1.61
0,0.868,1.61
0,0.880,1.61
0,0.907,1.61
0,0.907,1.61
0,0.908,1.61
0,0.908,1.61
0,0.948,1.61
0,0.949,1.61
0,0.949,1.61
0,0.951,1.61
0,0.990,1.61
0,0.991,1.61
0,0.992,1.61
0,1.004,1.61
0,1.031,1.61
0,1.031,1.61
0,1.031,1.61
0,1.032,1.61
0,1.073,1.61
0,1.073,1.61
0,1.074,1.61
0,1.075,1.61
0,1.114,1.61
0,1.116,1.61
0,1.117,1.61
0,1.131,1.61
0,1.155,1.61
0,1.156,1.61
0,1.156,1.61
0,1.157,1.61
0,1.196,1.61
0,1.197,1.61
0,1.198,1.61
0,1.199,1.61
0,1.238,1.61
0,1.239,1.61
0,1.240,1.61
0,1.255,1.61
0,1.279,1.61
0,1.280,1.61
0,1.280,1.61
0,1.281,1.61
0,1.320,1.61
0,1.321,1.61
0,1.322,1.61
0,1.323,1.61
0,1.362,1.61
0,1.363,1.61
0,1.364,1.61
0,1.380,1.61
0,1.403,1.61
0,1.404,1.61
0,1.405,1.61
0,1.406,1.61
0,1.445,1.61
0,1.445,1.61
0,1.446,1.61
0,1.447,1.61
0,1.486,1.61
0,1.487,1.61
0,1.488,1.61
0,1.504,1.61
0,1.527,1.61
0,1.528,1.61
0,1.528,1.61
0,1.529,1.61
0,1.568,1.61
0,1.569,1.61
0,1.569,1.61
0,1.570,1.61
0,1.610,1.61
0,1.611,1.61
0,1.613,1.61
0,1.622,1.61
0,1.651,1.61
0,1.651,1.61
0,1.652,1.61
0,1.652,1.61
0,1.693,1.61
0,1.693,1.61
0,1.693,1.61
0,1.694,1.61
0,1.734,1.61
0,1.736,1.61
0,1.737,1.61
0,1.754,1.61
0,1.776,1.61
0,1.779,1.61
0,1.779,1.61
0,1.780,1.61
0,1.817,1.61
0,1.817,1.61
0,1.818,1.61
0,1.820,1.61
0,1.858,1.61
0,1.860,1.61
0,1.861,1.61
0,1.886,1.61
0,1.900,1.61
0,1.913,1.61
0,1.913,1.61
0,1.914,1.61
0,1.941,1.61
0,1.941,1.61
0,1.942,1.61
0,1.943,1.61
0,1.982,1.61
0,1.983,1.61
0,1.984,1.61
0,2.008,1.61
0,2.024,1.61
0,2.024,1.61
0,2.055,1.61
0,2.057,1.61
0,2.065,1.61
0,2.092,1.61
0,2.093,1.61
0,2.095,1.61
0,2.116,1.61
0,2.118,1.61
0,2.120,1.61
0,2.143,1.61
0,2.148,1.61
0,2.168,1.61
0,2.169,1.61
0,2.172,1.61
0,2.189,1.61
0,2.196,1.61
0,2.198,1.61
0,2.200,1.61
0,2.231,1.61
0,2.232,1.61
0,2.234,1.61
0,2.258,1.61
0,2.272,1.61
0,2.284,1.61
0,2.284,1.61
0,2.285,1.61
0,2.313,1.61
0,2.315,1.61
0,2.316,1.61
0,2.318,1.61
0,2.355,1.61
0,2.356,1.61
0,2.358,1.61
