2025-03-25 18:31:16,244 - train_classifier_generate - INFO - Namespace(seed=0, gpus='0', data_dir='data/', epochs=50, batch_size=16, num_workers=4, num_classes=10, use_generator=True)
2025-03-25 18:31:20,661 - train_classifier_generate - INFO - 104520
2025-03-25 18:31:48,740 - train_classifier_generate - INFO - Epoch 0, Batch 0: Loss 2.32317852973938
2025-03-25 18:31:49,512 - train_classifier_generate - INFO - Epoch 0, Batch 100: Loss 2.2175803184509277
2025-03-25 18:31:50,090 - train_classifier_generate - INFO - Epoch 0, Batch 200: Loss 2.285437822341919
2025-03-25 18:31:50,475 - train_classifier_generate - INFO - Epoch 0, Batch 300: Loss 2.299437999725342
2025-03-25 18:31:51,027 - train_classifier_generate - INFO - Epoch 0, Batch 400: Loss 2.2413229942321777
2025-03-25 18:31:51,415 - train_classifier_generate - INFO - Epoch 0, Batch 500: Loss 2.2344751358032227
2025-03-25 18:31:51,959 - train_classifier_generate - INFO - Epoch 0, Batch 600: Loss 2.1906917095184326
2025-03-25 18:31:52,290 - train_classifier_generate - INFO - Epoch 0, Batch 700: Loss 2.178048610687256
2025-03-25 18:31:52,844 - train_classifier_generate - INFO - Epoch 0, Batch 800: Loss 2.1796960830688477
2025-03-25 18:31:53,242 - train_classifier_generate - INFO - Epoch 0, Batch 900: Loss 2.168557643890381
2025-03-25 18:31:53,891 - train_classifier_generate - INFO - Epoch 0, Batch 1000: Loss 2.175259590148926
2025-03-25 18:31:54,304 - train_classifier_generate - INFO - Epoch 0, Batch 1100: Loss 2.1602325439453125
2025-03-25 18:31:54,955 - train_classifier_generate - INFO - Epoch 0, Batch 1200: Loss 2.1100738048553467
2025-03-25 18:31:55,367 - train_classifier_generate - INFO - Epoch 0, Batch 1300: Loss 2.188197612762451
2025-03-25 18:31:55,962 - train_classifier_generate - INFO - Epoch 0, Batch 1400: Loss 2.119797706604004
2025-03-25 18:31:56,360 - train_classifier_generate - INFO - Epoch 0, Batch 1500: Loss 2.1418559551239014
2025-03-25 18:31:56,815 - train_classifier_generate - INFO - Epoch 0, Batch 1600: Loss 2.0914130210876465
2025-03-25 18:31:57,381 - train_classifier_generate - INFO - Epoch 0, Batch 1700: Loss 2.1620237827301025
2025-03-25 18:31:57,813 - train_classifier_generate - INFO - Epoch 0, Batch 1800: Loss 2.0398478507995605
2025-03-25 18:31:58,162 - train_classifier_generate - INFO - Epoch 0, Batch 1900: Loss 2.020008087158203
2025-03-25 18:31:58,627 - train_classifier_generate - INFO - Epoch 0, Batch 2000: Loss 2.0666658878326416
2025-03-25 18:31:59,180 - train_classifier_generate - INFO - Epoch 0, Batch 2100: Loss 2.1212193965911865
2025-03-25 18:31:59,720 - train_classifier_generate - INFO - Epoch 0, Batch 2200: Loss 2.175995111465454
2025-03-25 18:32:00,154 - train_classifier_generate - INFO - Epoch 0, Batch 2300: Loss 2.03989315032959
2025-03-25 18:32:00,657 - train_classifier_generate - INFO - Epoch 0, Batch 2400: Loss 1.9508126974105835
2025-03-25 18:32:01,177 - train_classifier_generate - INFO - Epoch 0, Batch 2500: Loss 2.154215097427368
2025-03-25 18:32:01,676 - train_classifier_generate - INFO - Epoch 0, Batch 2600: Loss 1.9742114543914795
2025-03-25 18:32:02,158 - train_classifier_generate - INFO - Epoch 0, Batch 2700: Loss 1.995366096496582
2025-03-25 18:32:02,603 - train_classifier_generate - INFO - Epoch 0, Batch 2800: Loss 1.9173492193222046
