id,time(s),value
0,0.040,1.64
0,0.041,1.64
0,0.045,1.64
0,0.047,1.64
0,0.082,1.64
0,0.083,1.64
0,0.086,1.64
0,0.103,1.64
0,0.123,1.64
0,0.124,1.64
0,0.125,1.64
0,0.126,1.64
0,0.165,1.64
0,0.165,1.64
0,0.165,1.64
0,0.166,1.64
0,0.206,1.64
0,0.206,1.64
0,0.208,1.64
0,0.223,1.64
0,0.247,1.64
0,0.247,1.64
0,0.248,1.64
0,0.248,1.64
0,0.288,1.64
0,0.289,1.64
0,0.289,1.64
0,0.291,1.64
0,0.330,1.64
0,0.331,1.64
0,0.332,1.64
0,0.347,1.64
0,0.371,1.64
0,0.372,1.64
0,0.372,1.64
0,0.373,1.64
0,0.413,1.64
0,0.413,1.64
0,0.414,1.64
0,0.415,1.64
0,0.454,1.64
0,0.455,1.64
0,0.456,1.64
0,0.468,1.64
0,0.495,1.64
0,0.496,1.64
0,0.496,1.64
0,0.497,1.64
0,0.537,1.64
0,0.537,1.64
0,0.538,1.64
0,0.539,1.64
0,0.578,1.64
0,0.579,1.64
0,0.580,1.64
0,0.596,1.64
0,0.619,1.64
0,0.620,1.64
0,0.620,1.64
0,0.621,1.64
0,0.661,1.64
0,0.661,1.64
0,0.662,1.64
0,0.664,1.64
0,0.702,1.64
0,0.703,1.64
0,0.704,1.64
0,0.705,1.64
0,0.744,1.64
0,0.751,1.64
0,0.751,1.64
0,0.753,1.64
0,0.785,1.64
0,0.785,1.64
0,0.787,1.64
0,0.788,1.64
0,0.827,1.64
0,0.828,1.64
0,0.829,1.64
0,0.857,1.64
0,0.869,1.64
0,0.870,1.64
0,0.886,1.64
0,0.887,1.64
0,0.909,1.64
0,0.909,1.64
0,0.911,1.64
0,0.912,1.64
0,0.951,1.65
0,0.952,1.65
0,0.954,1.65
0,0.955,1.65
0,0.992,1.65
0,0.992,1.65
0,0.992,1.65
0,0.993,1.65
0,1.033,1.65
0,1.034,1.65
0,1.035,1.65
0,1.036,1.65
0,1.075,1.65
0,1.076,1.65
0,1.078,1.65
0,1.096,1.65
0,1.116,1.65
0,1.117,1.65
0,1.117,1.65
0,1.118,1.65
0,1.158,1.65
0,1.158,1.65
0,1.159,1.65
0,1.160,1.65
0,1.199,1.65
0,1.200,1.65
0,1.202,1.65
0,1.222,1.65
0,1.240,1.65
0,1.244,1.65
0,1.245,1.65
0,1.246,1.65
0,1.282,1.65
0,1.282,1.65
0,1.283,1.65
0,1.285,1.65
0,1.323,1.65
0,1.324,1.65
0,1.326,1.65
0,1.348,1.65
0,1.364,1.65
0,1.372,1.64
0,1.372,1.64
0,1.373,1.64
0,1.406,1.64
0,1.406,1.64
0,1.407,1.64
0,1.408,1.64
0,1.447,1.64
0,1.448,1.64
0,1.449,1.64
0,1.466,1.64
0,1.488,1.64
0,1.489,1.64
0,1.489,1.64
0,1.490,1.64
0,1.530,1.64
0,1.530,1.64
0,1.531,1.64
0,1.533,1.64
0,1.571,1.64
0,1.573,1.64
0,1.577,1.64
0,1.586,1.64
0,1.612,1.64
0,1.613,1.64
0,1.613,1.64
0,1.614,1.64
0,1.654,1.64
0,1.654,1.64
0,1.654,1.64
0,1.655,1.64
0,1.695,1.64
0,1.696,1.64
0,1.697,1.64
0,1.708,1.64
0,1.737,1.64
0,1.737,1.64
0,1.737,1.64
0,1.737,1.64
0,1.778,1.64
0,1.778,1.64
0,1.779,1.64
0,1.780,1.64
0,1.819,1.64
0,1.820,1.64
0,1.821,1.64
0,1.837,1.64
0,1.861,1.64
0,1.861,1.64
0,1.861,1.64
