id,time(s),value
0,0.044,1.66
0,0.047,1.66
0,0.048,1.66
0,0.049,1.66
0,0.085,1.66
0,0.085,1.66
0,0.086,1.66
0,0.087,1.66
0,0.126,1.66
0,0.127,1.66
0,0.127,1.66
0,0.128,1.66
0,0.168,1.66
0,0.169,1.66
0,0.170,1.66
0,0.184,1.66
0,0.209,1.66
0,0.209,1.66
0,0.209,1.66
0,0.210,1.66
0,0.250,1.66
0,0.251,1.66
0,0.251,1.66
0,0.252,1.66
0,0.292,1.66
0,0.293,1.66
0,0.295,1.66
0,0.311,1.66
0,0.333,1.66
0,0.333,1.66
0,0.334,1.66
0,0.335,1.66
0,0.375,1.66
0,0.375,1.66
0,0.376,1.66
0,0.377,1.66
0,0.416,1.66
0,0.417,1.66
0,0.418,1.66
0,0.440,1.66
0,0.457,1.66
0,0.464,1.66
0,0.464,1.66
0,0.465,1.66
0,0.499,1.66
0,0.499,1.66
0,0.500,1.66
0,0.501,1.66
0,0.540,1.66
0,0.541,1.66
0,0.543,1.66
0,0.559,1.66
0,0.581,1.66
0,0.582,1.66
0,0.582,1.66
0,0.583,1.66
0,0.623,1.66
0,0.623,1.66
0,0.623,1.66
0,0.624,1.66
0,0.664,1.66
0,0.664,1.66
0,0.665,1.66
0,0.673,1.66
0,0.705,1.66
0,0.705,1.66
0,0.706,1.66
0,0.706,1.66
0,0.747,1.66
0,0.747,1.66
0,0.748,1.66
0,0.749,1.66
0,0.788,1.66
0,0.789,1.66
0,0.790,1.66
0,0.809,1.66
0,0.829,1.66
0,0.830,1.66
0,0.830,1.66
0,0.831,1.66
0,0.871,1.66
0,0.871,1.66
0,0.872,1.66
0,0.873,1.66
0,0.912,1.66
0,0.913,1.66
0,0.914,1.66
0,0.927,1.66
0,0.953,1.66
0,0.954,1.66
0,0.954,1.66
0,0.955,1.66
0,0.995,1.66
0,0.995,1.66
0,0.996,1.66
0,0.998,1.66
0,1.036,1.66
0,1.037,1.66
0,1.038,1.66
0,1.051,1.66
0,1.078,1.66
0,1.078,1.66
0,1.078,1.66
0,1.079,1.66
0,1.119,1.66
0,1.119,1.66
