"Freq [GHz]","re(Z(2,2)) [] - moveDistance='5mm'","re(Z(2,2)) [] - moveDistance='10mm'","re(Z(2,2)) [] - moveDistance='15mm'","re(Z(2,2)) [] - moveDistance='20mm'","re(Z(2,2)) [] - moveDistance='25mm'","re(Z(2,2)) [] - moveDistance='30mm'","re(Z(2,2)) [] - moveDistance='35mm'","re(Z(2,2)) [] - moveDistance='40mm'","im(Z(2,2)) [] - moveDistance='5mm'","im(Z(2,2)) [] - moveDistance='10mm'","im(Z(2,2)) [] - moveDistance='15mm'","im(Z(2,2)) [] - moveDistance='20mm'","im(Z(2,2)) [] - moveDistance='25mm'","im(Z(2,2)) [] - moveDistance='30mm'","im(Z(2,2)) [] - moveDistance='35mm'","im(Z(2,2)) [] - moveDistance='40mm'"
0.9,1.75520397337121,1.58083834949251,1.7723918308415,2.08496302111522,2.25919784715685,2.56279189931934,2.84937079191472,3.1222004596395,57.8189304718826,65.6877971222417,70.3193663895319,74.9754518015454,78.5284803284432,82.5221625251999,85.7317934757844,88.2919335328178
0.901,1.79197857918953,1.60193785285309,1.7945990237414,2.11109211449597,2.2874067525919,2.59553557601624,2.88633095682646,3.16317834413975,57.9454831774271,65.7983329463719,70.4365889300664,75.1044425184924,78.6665088347363,82.6733368130294,85.8951801804557,88.4647596264637
0.902,1.83027168129938,1.62340697838098,1.81714466456532,2.1376109147289,2.31603547527294,2.6287731253888,2.92385451544421,3.2047906101126,58.0740691099753,65.9092619994075,70.5541151872322,75.2337671917403,78.8049083370126,82.8249442208179,86.0590679466003,88.6381394849119
0.903,1.87019137833277,1.64525435202804,1.8400346959999,2.1645259777345,2.34509111268625,2.66251284179595,2.96195102803255,3.24704820117749,58.2048118939161,66.0205904087279,70.6719470262059,75.3634272782097,78.9436803907927,82.9769866329759,86.2234590169225,88.8120754979899
0.904,1.91185684723546,1.6674888765714,1.86327517850826,2.19184397472066,2.37458088091838,2.69676316850247,3.00063022838708,3.28996226153719,58.3378459663736,66.132324477211,70.7900863060105,75.4934242053886,79.0828265210018,83.1294658962315,86.3883555916166,88.9865700026788
0.905,1.9553998033238,1.69011974382301,1.88687229290674,2.21957169428454,2.40451211702232,2.73153270032437,3.0399020269596,3.33354413963882,58.473317774799,66.2444706910292,70.9085348785243,75.6237593695981,79.2223482200999,83.2823838173417,86.5537598257057,89.1616252798731
0.906,2.00096619505716,1.71315644754865,1.91083234300422,2.24771604454395,2.43489228140752,2.76683018631078,3.07977651402733,3.37780539188554,58.6113871340465,66.3570357279003,71.0272945874478,75.7544341341918,79.3622469461437,83.4357421607158,86.7196738262764,89.3372435510119
0.907,2.04871817821253,1.73660879714718,1.93516175830588,2.27628405529821,2.46572896025386,2.802664532462,3.12026396290597,3.42275778639838,58.7522287675789,66.4700264658249,71.146367267225,75.885449827685,79.5025241207783,83.5895426459469,86.8860996496047,89.5134269745771
0.908,2.09883642402495,1.76048693214575,1.95986709678345,2.30528288021866,2.49702986795003,2.83904480448402,3.1613748332067,3.46841330682819,58.8960340617233,66.5834499923457,71.2657547419202,76.0168077418138,79.6431811271558,83.7437869452486,87.0530392981704,89.690177642454
0.909,2.15152282823186,1.7848013375702,1.98495504771342,2.3347197990681,2.52880284955562,2.87598023057826,3.20311977413602,3.51478415621629,59.0430130669725,66.6973136143641,71.3854588240448,76.1485091295188,79.7842193077777,83.8984766807933,87.2204947175553,89.8674975761488
0.91,2.20700370354474,1.80956286025641,2.01043243458566,2.36460221994955,2.56105588328752,2.91348020426697,3.24550962783858,3.5618827609038,59.1933967863653,66.811624868553,71.5054813133364,76.2805552028536,79.9256399622586,84.053613421949,87.3884677932211,90.0453887228589
0.911,2.26553355780974,1.83478272617301,2.03630621808427,2.39493768158374,2.59379708303008,2.95155428725333,3.28855543278224,3.60972177448854,59.3474397981359,66.9263915324101,71.6258239954851,76.4129471308126,80.0674443450074,84.209198682411,87.5569603471641,90.2238529513907
0.912,2.32739958526205,1.86047255883226,2.06258349914259,2.42573385561478,2.62703470086869,2.9902122123155,3.33226842718436,3.65831408182815,59.5054232683191,67.0416216359955,71.7464886408068,76.5456860370785,80.2096336628241,84.3652339172253,87.7259741344404,90.4028920479181
0.913,2.39292703050135,1.88664439887352,2.08927152207508,2.45699854894431,2.66077712964715,3.02946388623463,3.3766600524793,3.70767280308911,59.6676584190422,67.1573234744065,71.8674770028612,76.6787729976834,80.3522090724078,84.5217205196991,87.8955108395588,90.5825077115787
0.914,2.46248562637201,1.91331072491002,2.11637767778775,2.48873970609288,2.6950329055475,3.06931939275518,3.42174195682534,3.75781129783944,59.8344905300676,67.2735056210392,71.9887908170117,76.812209038584,80.4951716777735,84.6786598181957,88.0655720727364,90.7627015499002
0.915,2.5364973608852,1.9404844757394,2.14390950707025,2.52096541158892,2.729810710693,3.10978899557772,3.46752599865112,3.80874316918489,60.0063035649852,67.3901769417001,72.1104317989267,76.9459951331443,80.6385225275746,84.836053072809,88.2361593660119,90.9434750740514
0.916,2.6154458988527,1.96817907402614,2.17187470397125,2.55368389238379,2.7651193757726,3.15088314138228,3.51402425023947,3.86048226794562,60.1835255294653,67.5073466096266,72.2324016430178,77.0801321995262,80.7822626123264,84.993901471914,88.407274169212,91.1248296939123
0.917,2.6998880767881,1.99640845157571,2.20028111926048,2.58690352029317,2.80096788268727,3.19261246288202,3.56124900134826,3.91304269687314,60.3666346871926,67.6250241214876,72.3547020208149,77.2146210979823,80.9263928615288,85.1522061285895,88.5789178457656,91.3067667129573
0.918,2.79046801288424,2.02518707633023,2.22913676397966,2.62063281446347,2.83736536721689,3.23498778190559,3.60921276286643,3.96643881490444,60.5561667792673,67.7432193144385,72.4773345792743,77.3494626280492,81.0709141406836,85.3109680769073,88.7510916683617,91.4892873229441
0.919,2.88793453874645,2.05452998122849,2.25844981308509,2.65488044386255,2.87432112170697,3.27802011250693,3.65792827050375,4.02068524145171,60.7527234141879,67.8619423843091,72.6003009390176,77.4846575256364,81.215827248203,85.4701882680852,88.923796814444,91.6723925984028
0.92,2.99316288194923,2.0844527950872,2.28822860918525,2.68965522979428,2.91184459777476,3.32172066410156,3.7074084885132,4.07579686072575,60.956981816242,67.9812039050158,72.7236026924994,77.6202064600097,81.3611329122055,85.6298675664988,89.0970343615383,91.8560834909176
0.921,3.10718183110695,2.11497177567475,2.3184816663759,2.7249661484353,2.94994540903307,3.36610084462715,3.75766661344332,4.13178882608969,61.1697061366675,68.10101484929,72.8472414021007,77.7561100306621,81.5068317871957,85.7900067455459,89.2708052824068,92.040360823195
0.922,3.23120803075416,2.14610384516679,2.34921767417631,2.7608223333935,2.98863333383123,3.41117226372733,3.80871607791938,4.1886765644411,61.3917605375684,68.2213866108288,72.9712185981452,77.8923687640727,81.6529244506239,85.9506064833617,89.4451104400222,92.2252252829106
